項目1,送料,資材,配送種別
60,675,30.5,宅配便
80,779,58,宅配便
100,938,115,宅配便
120,1068,117,宅配便
140,1174,145,宅配便
150,1288,,宅配便
160,1275,171,宅配便
180,3246,300,宅配便
200,3846,500,宅配便
1,330,24,メール便
3,269,23,メール便
nekop,194,15.9,メール便
yuup1,164,19,メール便
yuup2,194,,メール便
yuup3,269,23,メール便
sha,800,0,宅配便
gai,0,0,宅配便
gmp,1000,0,宅配便
gmp2,1500,0,宅配便
now,0,0,宅配便
無,,0,宅配便
ND,,0,宅配便
